center city,City
San Jose,City
university city,City
calabash mountain,Mountains
Raleigh,City
Kyoto,city
Tokyo,city
Hawaii,sea
San Francisco,city
Beijing,city
Mexico City,city
France,France
Philadelphia,Philadelphia
New York,New York
Boston,Boston
India,India
Goa,16
NewZealand,16
Singapore,16
Switzerland,16
europe,16
philly,city
London,city
Paris,city
NY,city
SFO,city
Chicago,city
Paris, France,City
Paris of France,City
Versailles, France,City
Prague, Czech Republic,City
Prague of Czech Republic,City
MONTREAL,HISTORICALLOCATIONS, ICEHOCKEY
NEW YORK CITY, NY,MUSEUMS, RESTAURANT, SKYSCRAPERS
KERALA,INDIA,BACKWATERS, FOOD, MUSICAL
TAJMAHAL, AGRA, INDIA,FOOD, HISTORICALLOCATIONS
TURKEY,CULTURAL, HISTORICALLOCATIONS, MUSICAL
ANTARCTICA,ICEBERGS
ROCKY MOUNTAINS,NATIONAL PARK
TOKYO,CITY TOUR
ALASKA,NATIONAL PARK
CARIBBEAN SEA,CRUISE
UPENN,CULTURE
Hometown Paris,city
Amsterdam,city
Tokyo of Japan,city
Bruges,city
Paris, Texas,city
Island 1,location
Island 2,location
Island 3,location
Island 4,location
Island 5,location
Guam,Destination
blind Pig,Destination
guam,Destination
Starbucks,Destination
Chili's,Destination
Lovely Starbucks,Destination
Dunkin Donuts,Destination
my Starbucks,Destination
cute Guam,Destination
Paris of Kentucky,Destination
the Guam,Destination
Paris, Kentucky,Destination
coffee shop,Destination
oooh Guam,Destination
Disney World,The place Mickey Mouse threw up
New York, NY,High Finance
Liberty Bell,16
San Diego, CA,Fish Tacos!!!
Levine Hall,Where dreams go to die
Paris, FR,Where dreams are made of chocolate
Wells Fargo Center,Poor Poor 76er's
Milan, IT,Home sweet home
The Shire,Hobbits!!!
Mount Rushmore,Founding Father's in stone
TOKYO of Japan,place
Rome,place
Munich,place
Las Vegas,place
Mount Vesuvius,place
Six Flags,location
Stonehenge,location
Miami Beach,location
Las Vegas, CA, USA,16
California,16
New York City,16
Canada,16
Texas,16
the Philadelphia, PA,place
Winterfell,place
New York, state of NY,place
Bay Harbor Islands,place
Mordor,place
ny,city
Seattle,city
Miami,city
nice philly,city
Dead sea,sea
warm Hawaii,beach
Yosemite,national park
Poconos,mountains
Australia,Island
Tokyo, cap of Japan,urban
London, UK,city
cap of France,city
New York, NY state,city
San Francisco of California,city
Chicago, USA,city
